PRE_CODIGO;ESP_CODIGO;ESP_DT_INC;ESP_DT_EXC
23759;48;2001-01-10 00:00:00;
23767;40;2001-01-10 00:00:00;
24216;48;2016-08-31 07:53:57;2016-08-31 07:54:15
24216;35;2003-07-23 16:49:40;2016-07-08 17:29:36
22973;14;2001-01-10 00:00:00;
100249;18;2005-11-18 17:19:26;
100206;74;2005-12-16 08:45:21;
22973;1058;2001-01-10 00:00:00;
23635;48;2001-01-10 00:00:00;1998-08-18 00:00:00
24216;71;2009-03-25 17:38:16;
22973;11;2007-01-11 07:53:10;
23686;3;2008-08-25 15:20:25;2018-04-01 00:00:00
99941;11;2010-12-20 18:24:36;
100206;66;2007-06-26 13:46:02;
7036;3;2008-08-25 14:58:47;2012-02-22 13:12:19
98643;3;2008-08-25 15:00:15;
23791;44;2001-01-10 00:00:00;
23759;1209;2006-12-27 11:50:58;2007-10-16 12:16:23
99836;60;2012-10-29 13:28:41;
100206;1374;2016-07-18 11:58:26;
99895;60;2014-12-30 12:01:10;
23759;1323;2014-06-17 08:40:47;
24216;1323;2014-06-17 08:41:09;2018-08-28 14:56:10
100206;1209;2007-11-29 08:44:29;2009-08-21 07:52:35
